date,optionID,optionK,optionName,volumeValue,open,high,low,close,SettlementPrice,volume,open interest,uplimit,downlimit,Delta,Gamma,Vega,Theta,Rho
2016/9/23,10000689,2.4,50ETF沽2016年9月2.40,"2,372,926.00",0.1478,0.15,0.1312,0.15,0.151,"1,627","4,865",0.3713,0.0001,-0.967,0.948,0.02,-0.142,-0.032
2016/9/23,10000690,2.45,50ETF沽2016年9月2.45,"5,563,399.00",0.1952,0.1995,0.192,0.1995,0.201,"2,851","7,476",0.421,0.0001,-0.975,0.609,0.016,-0.136,-0.033
2016/9/23,10000691,2.4,50ETF购2016年12月2.348A,"319,498.00",0.0302,0.0305,0.0274,0.0278,0.0278,"1,093","11,355",0.241,0.0001,0.258,1.735,0.375,-0.129,0.147
2016/9/23,10000692,2.45,50ETF购2016年12月2.397A,"216,056.00",0.0214,0.0219,0.0196,0.0196,0.0196,"1,044","25,891",0.2274,0.0001,0.192,1.425,0.317,-0.11,0.11
2016/9/23,10000693,2.4,50ETF沽2016年12月2.348A,"2,284,962.00",0.1806,0.1857,0.1799,0.1857,0.1857,"1,250","5,305",0.4065,0.0001,-0.669,1.393,0.421,-0.128,-0.451
2016/9/23,10000694,2.45,50ETF沽2016年12月2.397A,"1,991,195.00",0.2228,0.2278,0.2211,0.2275,0.2275,890,"7,460",0.4475,0.0001,-0.717,1.228,0.393,-0.121,-0.491
2016/9/23,10000695,2.4,50ETF购2017年3月2.348A,"111,950.00",0.0599,0.0599,0.0567,0.0567,0.0567,192,"6,109",0.2709,0.0001,0.35,1.448,0.589,-0.116,0.365
2016/9/23,10000696,2.45,50ETF购2017年3月2.397A,"460,477.00",0.0489,0.0491,0.0453,0.0453,0.0455,980,"12,456",0.2549,0.0001,0.292,1.304,0.546,-0.108,0.306
2016/9/23,10000697,2.4,50ETF沽2017年3月2.348A,"169,444.00",0.2188,0.2221,0.2183,0.2221,0.222,77,"1,683",0.4442,0.0001,-0.583,1.015,0.621,-0.105,-0.766
2016/9/23,10000698,2.45,50ETF沽2017年3月2.397A,"712,763.00",0.256,0.2601,0.2557,0.2601,0.2601,276,"4,582",0.4823,0.0313,-0.623,0.955,0.604,-0.103,-0.83
