,date,optionID,optionK,optionName,volumeValue,open,high,low,close,SettlementPrice,volume,open interest,uplimit,downlimit,Delta,Gamma,Vega,Theta,Rho
81,2018/8/13,10001392,2.6,50ETF购2018年8月2.60,"21,726,348.00",0.0185,0.0216,0.0125,0.0176,0.0176,"130,170","129,096",0.2766,0.0001,0.266,2.987,0.13,-0.7490000000000001,0.016
82,2018/8/13,10001393,2.65,50ETF购2018年8月2.65,"6,727,546.00",0.0099,0.0105,0.006,0.0084,0.0084,"82,493","101,358",0.2587,0.0001,0.147,2.0669999999999997,0.091,-0.53,0.009000000000000001
83,2018/8/13,10001394,2.25,50ETF沽2018年8月2.25,"59,745.00",0.0009,0.0014,0.0005,0.0007,0.0007,"5,916","23,945",0.1956,0.0001,-0.013000000000000001,0.244,0.013000000000000001,-0.086,-0.001
84,2018/8/13,10001395,2.3,50ETF沽2018年8月2.30,"312,042.00",0.0017,0.0028,0.0007,0.001,0.001,"18,163","37,016",0.20600000000000002,0.0001,-0.023,0.445,0.021,-0.129,-0.001
85,2018/8/13,10001396,2.35,50ETF沽2018年8月2.35,"1,936,430.00",0.0035,0.0065,0.0018,0.0023,0.0023,"45,826","76,730",0.217,0.0001,-0.047,0.878,0.039,-0.217,-0.003
86,2018/8/13,10001397,2.4,50ETF沽2018年8月2.40,"9,148,325.00",0.0088,0.0143,0.0044,0.0069,0.0069,"92,608","65,863",0.2304,0.0001,-0.11800000000000001,1.754,0.079,-0.444,-0.008
87,2018/8/13,10001398,2.45,50ETF沽2018年8月2.45,"33,500,481.00",0.0185,0.0287,0.011000000000000001,0.0156,0.0156,"160,970","68,393",0.2473,0.0001,-0.23199999999999998,2.742,0.121,-0.672,-0.015
88,2018/8/13,10001399,2.5,50ETF沽2018年8月2.50,"73,317,749.00",0.0321,0.0501,0.0246,0.0312,0.0312,"191,431","59,966",0.2702,0.0001,-0.391,3.509,0.152,-0.8220000000000001,-0.025
89,2018/8/13,10001400,2.55,50ETF沽2018年8月2.55,"92,261,280.00",0.0554,0.0816,0.0466,0.0564,0.0564,"140,686","46,004",0.3001,0.0001,-0.5710000000000001,3.563,0.156,-0.833,-0.037000000000000005
90,2018/8/13,10001401,2.6,50ETF沽2018年8月2.60,"56,197,280.00",0.086,0.1204,0.078,0.0892,0.0892,"56,213","36,787",0.3296,0.0001,-0.737,3.011,0.129,-0.659,-0.048
91,2018/8/13,10001402,2.65,50ETF沽2018年8月2.65,"35,724,759.00",0.1239,0.1635,0.1179,0.1302,0.1302,"24,963","16,416",0.3658,0.0001,-0.856,2.063,0.09,-0.43700000000000006,-0.057
92,2018/8/13,10001403,2.7,50ETF购2018年8月2.70,"1,362,061.00",0.0044,0.0048,0.0028,0.0037,0.0037,"36,473","75,037",0.2462,0.0001,0.073,1.2309999999999999,0.055,-0.32299999999999995,0.004
